produto,categoria,quantidade_estoque,preco,unidades_vendidas,validade,fornecedor,estoque_minimo
Laxante Fitoterápico,Fitoterápico,,,,2025-13-40,NatureLab,
Colírio Lubrificante,Ótico,,,,2023-00-15,BioHealth,
Colírio Antialérgico 10ml,Ótico,55.0,22.8,24.0,2022-11-00,BioHealth,20.0
Seringa 3ml,Item Hospitalar,210.0,1.1,95.0,2023-00-15,HospEquip,80.0
Agulha 30x7mm,Item Hospitalar,300.0,0.8,140.0,2025-13-40,HospEquip,120.0
Fita Microporosa 1cm,Primeiros Socorros,125.0,4.2,60.0,0000-00-00,HospEquip,50.0
Esfigmomanômetro,Equipamento,,,,2023-00-15,TechMed,
Estetoscópio,Equipamento,0.0,159.9,7.0,2022-11-00,TechMed,4.0
Nebulizador Portátil,Equipamento,20.0,0.0,10.0,2023-00-15,TechMed,0.0
Bengala de Alumínio,Ortopedia,,,,2025-13-40,OrtoPlus,
Tornozeleira Neoprene,Ortopedia,40.0,34.9,22.0,2024-02-31,OrtoPlus,15.0
Colar Cervical M,Ortopedia,25.0,49.9,14.0,2024-02-31,OrtoPlus,10.0
Sabonete Esfoliante,Higiene,,,,2025-13-40,CleanCare,
Creme para Rosto Noturno,Cosmético,30.0,89.0,12.0,2022-11-00,SkinCare,10.0
Máscara de Hidratação Capilar,Cosmético,,,,2023-00-15,SkinCare,
Esmalte Rosa Nude,Cosmético,55.0,9.9,28.0,0000-00-00,SkinCare,25.0
Suplemento de Magnésio,Suplemento,90.0,34.5,42.0,0000-00-00,NutriLab,30.0
Suplemento de Zinco,Suplemento,80.0,22.9,35.0,2024-02-31,NutriLab,25.0
Chá de Hortelã,Fitoterápico,70.0,9.5,26.0,2023-00-15,NatureLab,30.0
Creme para Pés,Cosmético,60.0,19.9,24.0,2023-00-15,SkinCare,20.0
Creme Antiacne,Dermocosmético,35.0,49.9,14.0,2023-00-15,SkinCare,10.0
Shampoo Antirresíduos,Higiene,50.0,23.9,18.0,2025-13-40,CleanCare,20.0
Condicionador Reparador,Higiene,55.0,21.9,22.0,2024-02-31,CleanCare,20.0
Álcool em Gel 70%,Higiene,100.0,7.5,50.0,2024-02-31,CleanCare,40.0
Protetor Solar Facial FPS 70,Cosmético,,,,2022-11-00,SkinCare,
Óleo Corporal 200ml,Cosmético,,,,0000-00-00,SkinCare,
Vaselina Sólida 100g,Higiene,80.0,12.9,33.0,0000-00-00,CleanCare,30.0
Algodão 50g,Higiene,,,,2025-13-40,CleanCare,
Adesivo Quente Ortopédico,Ortopedia,35.0,14.9,17.0,2023-00-15,OrtoPlus,10.0
Cinta Lombar G,Ortopedia,20.0,0.0,9.0,0000-00-00,OrtoPlus,5.0
Kit Primeiros Socorros,Primeiros Socorros,25.0,59.9,11.0,2022-11-00,HospEquip,8.0
Lâmina de Bisturi 15C,Item Hospitalar,250.0,1.0,120.0,2024-02-31,HospEquip,100.0
Cânula Nasal Infantil,Item Hospitalar,,,,2022-11-00,HospEquip,
Fita Teste Glicemia 50un,Medicamento,,,,2025-13-40,MedCare,
Insulina NPH 10ml,Medicamento Controlado,0.0,42.9,14.0,2025-13-40,PharmaPlus,10.0
Insulina Regular 10ml,Medicamento Controlado,28.0,42.9,12.0,0000-00-00,PharmaPlus,10.0
Levotiroxina 75mcg,Medicamento,60.0,16.8,28.0,2025-13-40,MedCare,25.0
Ranitidina 150mg,Antiácido,40.0,18.9,17.0,2023-00-15,MedCare,15.0
Espinheira Santa,Fitoterápico,55.0,16.9,20.0,2025-13-40,NatureLab,20.0
Urtiga 500mg,Fitoterápico,45.0,19.9,18.0,0000-00-00,NatureLab,15.0
Pílula do Dia Seguinte,Medicamento,,,,2025-13-40,BioHealth,
Ácido Fólico 5mg,Suplemento,85.0,14.9,40.0,0000-00-00,NutriLab,35.0
Colágeno Hidrolisado 200g,Suplemento,55.0,49.9,0.0,2024-02-31,NutriLab,20.0
Espirômetro,Equipamento,,,,0000-00-00,TechMed,
Desodorante Roll-on,Higiene,90.0,11.5,38.0,0000-00-00,CleanCare,30.0
Creme Hidratante Facial,Cosmético,,,,2023-00-15,SkinCare,
Tinta para Cabelo Castanho,Cosmético,,,,2023-00-15,SkinCare,
Óleo Essencial de Lavanda,Aromaterapia,40.0,29.9,15.0,2022-11-00,NatureLab,15.0
Óleo Essencial de Hortelã,Aromaterapia,38.0,27.9,14.0,2025-13-40,NatureLab,15.0
Umidificador de Ar,Equipamento,15.0,0.0,7.0,2022-11-00,TechMed,3.0
Tesoura Cirúrgica 12cm,Item Hospitalar,,,,2023-00-15,HospEquip,
Compressa Quente/Fria,Primeiros Socorros,35.0,29.9,14.0,2025-13-40,HospEquip,10.0
Luva Nitrílica M,Item Hospitalar,0.0,1.9,90.0,2024-02-31,HospEquip,80.0
Luva Cirúrgica Estéril G,Item Hospitalar,150.0,2.5,75.0,2023-00-15,HospEquip,60.0
Ferrolho Ajustável Ortopédico,Ortopedia,12.0,89.9,6.0,2024-02-31,OrtoPlus,3.0
Faixa Elástica de Exercício,Ortopedia,40.0,29.9,20.0,0000-00-00,OrtoPlus,15.0
Paracetamol 500mg,Analgésico,,,,2024-02-31,PharmaPlus,
Paracetamol 500mg,Analgésico,Analgésico,8.5,0.0,2024-02-31,PharmaPlus,50.0
Ibuprofeno 400mg,Anti-inflamatório,80.0,12.9,60.0,2025-13-40,MedCare,40.0
Dipirona 1g,Analgésico,200.0,5.0,120.0,2022-11-00,PharmaPlus,70.0
Omeprazol 20mg,Antiácido,,,,2025-13-40,BioHealth,
Loratadina 10mg,Antialérgico,40.0,9.99,25.0,0000-00-00,MedCare,20.0
Vitamina C 500mg,Suplemento,150.0,14.5,80.0,2022-11-00,NutriLab,60.0
Amoxicilina 500mg,Antibiótico,50.0,22.3,35.0,2025-13-40,PharmaPlus,25.0
Soro Fisiológico 500ml,Item Hospitalar,90.0,0.0,70.0,2024-02-31,HospEquip,40.0
Álcool 70%,Higiene,30.0,6.5,0.0,2022-11-00,HospEquip,20.0
Fralda Geriátrica G,Higiene,,,,2023-00-15,SeniorCare,
Clorexidina 2%,Antisséptico,,,,2025-13-40,HospEquip,
Multivitamínico A-Z,Suplemento,,,,2025-13-40,NutriLab,
Metformina 850mg,Antidiabético,60.0,17.5,40.0,2022-11-00,PharmaPlus,30.0
Losartana 50mg,Antihipertensivo,85.0,19.9,55.0,0000-00-00,MedCare,40.0
Airborne Vitamina C,Suplemento,,,,0000-00-00,NutriLab,
Sabonete Líquido Neutro,Higiene,75.0,7.5,20.0,2025-13-40,CleanCare,30.0
Pomada Nebacetin,Antisséptico,45.0,16.8,18.0,2025-13-40,BioHealth,20.0
Seringa 5ml,Item Hospitalar,,,,0000-00-00,HospEquip,
Pomada de Assadura,Bebê,50.0,9.49,28.0,2023-00-15,BabySoft,20.0
Shampoo Anticaspa,Higiene,60.0,22.5,30.0,2023-00-15,CleanCare,25.0
Escova Dental Macia,Higiene Bucal,150.0,6.2,80.0,2022-11-00,OralMax,50.0
Enxaguante Bucal 500ml,Higiene Bucal,,,,2025-13-40,OralMax,
Protetor Solar FPS 50,Cosmético,45.0,49.9,33.0,2024-02-31,SkinCare,20.0
Hidratante Corporal 200ml,Cosmético,,,,2023-00-15,SkinCare,
Carvão Ativado 250mg,Fitoterápico,35.0,21.0,14.0,2025-13-40,NatureLab,15.0
Chá de Camomila,Fitoterápico,,,,2022-11-00,NatureLab,
Bandagem Elástica M,Primeiros Socorros,80.0,12.0,38.0,0000-00-00,HospEquip,30.0
Termômetro Digital,Equipamento,25.0,34.9,12.0,2022-11-00,TechMed,10.0
Oxímetro de Dedo,Equipamento,18.0,59.9,8.0,2025-13-40,TechMed,5.0
Água Micelar 200ml,Cosmético,55.0,24.99,26.0,2024-02-31,SkinCare,20.0
Sabão Glicerinado,Higiene,,,,0000-00-00,CleanCare,
Pasta de Dente Infantil,Higiene Bucal,95.0,8.2,40.0,0000-00-00,OralMax,35.0
Escova Interdental,Higiene Bucal,60.0,12.5,22.0,2024-02-31,OralMax,25.0
Creatina 300g,Suplemento,45.0,89.9,18.0,2024-02-31,NutriLab,20.0
Whey Protein 900g,Suplemento,35.0,129.9,16.0,0000-00-00,NutriLab,15.0
Vitamina D3 2000UI,Suplemento,,,,2022-11-00,NutriLab,
Antisséptico Bucal Kids,Higiene Bucal,50.0,11.5,19.0,2024-02-31,OralMax,20.0
Esmalte Fortalecedor,Cosmético,45.0,18.9,17.0,2024-02-31,SkinCare,20.0
Creme para Mãos 50g,Cosmético,65.0,12.9,25.0,2025-13-40,SkinCare,25.0
Loção Pós-sol,Cosmético,,,,2024-02-31,SkinCare,
Chá Verde,Fitoterápico,85.0,11.5,36.0,2022-11-00,NatureLab,35.0
Guaraná em Pó 100g,Fitoterápico,,,,2024-02-31,NatureLab,
Curativo Impermeável,Primeiros Socorros,140.0,3.6,75.0,2023-00-15,HospEquip,50.0
Desodorante Aerosol,Higiene,,,,2023-00-15,CleanCare,
Sabonete Íntimo,Higiene,,,,0000-00-00,CleanCare,
Lenço Umedecido,Bebê,130.0,12.8,60.0,0000-00-00,BabySoft,50.0
Shampoo Bebê,Bebê,,,,2022-11-00,BabySoft,
Toalha Umedecida Antisséptica,Higiene,75.0,15.9,0.0,2024-02-31,CleanCare,30.0
Enfátese Premium 800g,Suplemento Infantil,40.0,69.9,18.0,2022-11-00,BabySoft,15.0
Protetor Labial FPS 30,Cosmético,85.0,0.0,41.0,2024-02-31,SkinCare,0.0
Creme Antirrugas,Cosmético,30.0,89.9,12.0,2022-11-00,SkinCare,10.0
Água Termal 150ml,Cosmético,0.0,32.9,20.0,2024-02-31,SkinCare,20.0
Ácido Salicílico 2%,Dermocosmético,35.0,49.9,14.0,2025-13-40,SkinCare,15.0
Serum Vitamina C 10%,Dermocosmético,30.0,0.0,16.0,2025-13-40,SkinCare,0.0
Vitamina B12 1000mcg,Suplemento,,,,2022-11-00,NutriLab,
Probiotico 30 Cápsulas,Suplemento,,,,2024-02-31,NutriLab,
Ômega 3 1000mg,Suplemento,0.0,59.9,55.0,2024-02-31,NutriLab,50.0
Passiflora 500mg,Fitoterápico,0.0,22.9,16.0,2024-02-31,NatureLab,20.0
Ginkgo Biloba 80mg,Fitoterápico,60.0,28.9,24.0,2024-02-31,NatureLab,25.0
Bepantol Baby,Bebê,40.0,29.9,18.0,0000-00-00,BabySoft,15.0
Pomada para Hemorroida,Medicamento,25.0,22.9,10.0,2023-00-15,PharmaPlus,10.0
Captopril 25mg,Antihipertensivo,,,,2025-13-40,MedCare,
Simeticona 40mg,Antigases,50.0,9.9,21.0,0000-00-00,MedCare,20.0
Laxante Fitoterápico,Fitoterápico,,,,0000-00-00,NatureLab,
Colírio Lubrificante,Ótico,,,,0000-00-00,BioHealth,
Colírio Antialérgico 10ml,Ótico,55.0,22.8,24.0,2023-00-15,BioHealth,20.0
Seringa 3ml,Item Hospitalar,210.0,1.1,95.0,2024-02-31,HospEquip,80.0
Agulha 30x7mm,Item Hospitalar,300.0,0.8,140.0,2025-13-40,HospEquip,120.0
Fita Microporosa 1cm,Primeiros Socorros,125.0,4.2,60.0,2023-00-15,HospEquip,50.0
Esfigmomanômetro,Equipamento,,,,2024-02-31,TechMed,
Estetoscópio,Equipamento,0.0,159.9,7.0,0000-00-00,TechMed,4.0
Nebulizador Portátil,Equipamento,20.0,0.0,10.0,2023-00-15,TechMed,0.0
Bengala de Alumínio,Ortopedia,,,,2023-00-15,OrtoPlus,
Tornozeleira Neoprene,Ortopedia,40.0,34.9,22.0,2024-02-31,OrtoPlus,15.0
Colar Cervical M,Ortopedia,25.0,49.9,14.0,0000-00-00,OrtoPlus,10.0
Sabonete Esfoliante,Higiene,,,,2023-00-15,CleanCare,
Creme para Rosto Noturno,Cosmético,30.0,89.0,12.0,2023-00-15,SkinCare,10.0
Máscara de Hidratação Capilar,Cosmético,,,,0000-00-00,SkinCare,
Esmalte Rosa Nude,Cosmético,55.0,9.9,28.0,0000-00-00,SkinCare,25.0
Suplemento de Magnésio,Suplemento,90.0,34.5,42.0,2025-13-40,NutriLab,30.0
Suplemento de Zinco,Suplemento,80.0,22.9,35.0,2022-11-00,NutriLab,25.0
Chá de Hortelã,Fitoterápico,70.0,9.5,26.0,2023-00-15,NatureLab,30.0
Creme para Pés,Cosmético,60.0,19.9,24.0,2024-02-31,SkinCare,20.0
Creme Antiacne,Dermocosmético,35.0,49.9,14.0,0000-00-00,SkinCare,10.0
Shampoo Antirresíduos,Higiene,50.0,23.9,18.0,2022-11-00,CleanCare,20.0
Condicionador Reparador,Higiene,55.0,21.9,22.0,2022-11-00,CleanCare,20.0
Álcool em Gel 70%,Higiene,100.0,7.5,50.0,2022-11-00,CleanCare,40.0
Protetor Solar Facial FPS 70,Cosmético,,,,2024-02-31,SkinCare,
Óleo Corporal 200ml,Cosmético,,,,2025-13-40,SkinCare,
Vaselina Sólida 100g,Higiene,80.0,12.9,33.0,0000-00-00,CleanCare,30.0
Algodão 50g,Higiene,,,,2024-02-31,CleanCare,
Adesivo Quente Ortopédico,Ortopedia,35.0,14.9,17.0,0000-00-00,OrtoPlus,10.0
Cinta Lombar G,Ortopedia,20.0,0.0,9.0,2023-00-15,OrtoPlus,5.0
Kit Primeiros Socorros,Primeiros Socorros,25.0,59.9,11.0,0000-00-00,HospEquip,8.0
Lâmina de Bisturi 15C,Item Hospitalar,250.0,1.0,120.0,2023-00-15,HospEquip,100.0
Cânula Nasal Infantil,Item Hospitalar,,,,0000-00-00,HospEquip,
Fita Teste Glicemia 50un,Medicamento,,,,2025-13-40,MedCare,
Insulina NPH 10ml,Medicamento Controlado,0.0,42.9,14.0,2024-02-31,PharmaPlus,10.0
Insulina Regular 10ml,Medicamento Controlado,28.0,42.9,12.0,0000-00-00,PharmaPlus,10.0
Levotiroxina 75mcg,Medicamento,60.0,16.8,28.0,2024-02-31,MedCare,25.0
Ranitidina 150mg,Antiácido,40.0,18.9,17.0,0000-00-00,MedCare,15.0
Espinheira Santa,Fitoterápico,55.0,16.9,20.0,0000-00-00,NatureLab,20.0
Urtiga 500mg,Fitoterápico,45.0,19.9,18.0,2025-13-40,NatureLab,15.0
Pílula do Dia Seguinte,Medicamento,,,,2023-00-15,BioHealth,
Ácido Fólico 5mg,Suplemento,85.0,14.9,40.0,2024-02-31,NutriLab,35.0
Colágeno Hidrolisado 200g,Suplemento,55.0,49.9,0.0,2024-02-31,NutriLab,20.0
Espirômetro,Equipamento,,,,2023-00-15,TechMed,
Desodorante Roll-on,Higiene,90.0,11.5,38.0,2024-02-31,CleanCare,30.0
Creme Hidratante Facial,Cosmético,,,,2022-11-00,SkinCare,
Tinta para Cabelo Castanho,Cosmético,,,,2024-02-31,SkinCare,
Óleo Essencial de Lavanda,Aromaterapia,40.0,29.9,15.0,2024-02-31,NatureLab,15.0
Óleo Essencial de Hortelã,Aromaterapia,38.0,27.9,14.0,2025-13-40,NatureLab,15.0
Umidificador de Ar,Equipamento,15.0,0.0,7.0,2023-00-15,TechMed,3.0
Tesoura Cirúrgica 12cm,Item Hospitalar,,,,2025-13-40,HospEquip,
Compressa Quente/Fria,Primeiros Socorros,35.0,29.9,14.0,2023-00-15,HospEquip,10.0
Luva Nitrílica M,Item Hospitalar,0.0,1.9,90.0,0000-00-00,HospEquip,80.0
Luva Cirúrgica Estéril G,Item Hospitalar,150.0,2.5,75.0,0000-00-00,HospEquip,60.0
Ferrolho Ajustável Ortopédico,Ortopedia,12.0,89.9,6.0,2022-11-00,OrtoPlus,3.0
Faixa Elástica de Exercício,Ortopedia,40.0,29.9,20.0,0000-00-00,OrtoPlus,15.0
